facit:['BLUE', 'd2'],prediction:,
facit:['BLUE', 'd2'],prediction:,['blue', 'd2']
facit:['BLUE', 'eight'],prediction:,['blue', 'eight']
facit:['BLUE', 'eight'],prediction:,
facit:['BLUE', 'five'],prediction:,['unknown', 'symbol']
facit:['BLUE', 'five'],prediction:,['unknown', 'symbol']
facit:['BLUE', 'five'],prediction:,
facit:['BLUE', 'four'],prediction:,
facit:['BLUE', 'four'],prediction:,['unknown', 'symbol']
facit:['BLUE', 'four'],prediction:,['blue', 'four']
facit:['BLUE', 'nine'],prediction:,['unknown', 'symbol']
facit:['BLUE', 'nine'],prediction:,['blue', 'nine']
facit:['BLUE', 'nine'],prediction:,
facit:['BLUE', 'one'],prediction:,['unknown', 'symbol']
facit:['BLUE', 'one'],prediction:,['blue', 'one']
facit:['BLUE', 'one'],prediction:,
facit:['BLUE', 'r'],prediction:,['blue', 'r']
facit:['BLUE', 'r'],prediction:,['blue', 'r']
facit:['BLUE', 'r'],prediction:,['blue', 'one']
facit:['BLUE', 'seven'],prediction:,['blue', 'seven']
facit:['BLUE', 'seven'],prediction:,['green', 'one']
facit:['BLUE', 'seven'],prediction:,
facit:['BLUE', 'six'],prediction:,
facit:['BLUE', 'six'],prediction:,['blue', 'six']
facit:['BLUE', 'six'],prediction:,
facit:['BLUE', 's'],prediction:,['unknown', 'symbol']
facit:['BLUE', 's'],prediction:,['unknown', 'symbol']
facit:['BLUE', 's'],prediction:,
facit:['BLUE', 'three'],prediction:,['blue', 'three']
facit:['BLUE', 'three'],prediction:,['blue', 'three']
facit:['BLUE', 'three'],prediction:,
facit:['BLUE', 'two'],prediction:,['blue', 'four']
facit:['BLUE', 'two'],prediction:,['blue', 'two']
facit:['BLUE', 'two'],prediction:,
facit:['BLUE', 'zero'],prediction:,['blue', 'one']
facit:['BLUE', 'zero'],prediction:,['unknown', 'symbol']
facit:['BLUE', 'zero'],prediction:,['blue', 'zero']
facit:['d4', ''],prediction:,['d4']
facit:['d4', ''],prediction:,
facit:['d4', ''],prediction:,['d4']
facit:['GREEN', 'd2'],prediction:,['unknown', 'symbol']
facit:['GREEN', 'd2'],prediction:,['unknown', 'symbol']
facit:['GREEN', 'd2'],prediction:,
facit:['GREEN', 'eight'],prediction:,['blue', 'two']
facit:['GREEN', 'eight'],prediction:,['unknown', 'symbol']
facit:['GREEN', 'eight'],prediction:,['unknown', 'symbol']
facit:['GREEN', 'five'],prediction:,['blue', 'six']
facit:['GREEN', 'five'],prediction:,['blue', 'nine']
facit:['GREEN', 'five'],prediction:,['blue', 'five']
facit:['GREEN', 'four'],prediction:,['unknown', 'symbol']
facit:['GREEN', 'four'],prediction:,['blue', 'four']
facit:['GREEN', 'four'],prediction:,['blue', 'four']
facit:['GREEN', 'nine'],prediction:,['blue', 'six']
facit:['GREEN', 'nine'],prediction:,
facit:['GREEN', 'nine'],prediction:,
facit:['GREEN', 'one'],prediction:,['blue', 'one']
facit:['GREEN', 'one'],prediction:,['blue', 'one']
facit:['GREEN', 'one'],prediction:,['blue', 'one']
facit:['GREEN', 'r'],prediction:,
facit:['GREEN', 'r'],prediction:,['blue', 'r']
facit:['GREEN', 'r'],prediction:,['unknown', 'symbol']
facit:['GREEN', 'seven'],prediction:,['blue', 'seven']
facit:['GREEN', 'seven'],prediction:,['green', 'seven']
facit:['GREEN', 'seven'],prediction:,['blue', 'seven']
facit:['GREEN', 'six'],prediction:,['blue', 'six']
facit:['GREEN', 'six'],prediction:,
