facit:['BLUE', 'd2'],prediction:,['blue', 'd2']
facit:['BLUE', 'd2'],prediction:,['blue', 'd2']
facit:['BLUE', 'eight'],prediction:,['blue', 'eight']
facit:['BLUE', 'eight'],prediction:,['blue', 'eight']
facit:['BLUE', 'five'],prediction:,['blue', 'five']
facit:['BLUE', 'five'],prediction:,['blue', 'five']
facit:['BLUE', 'five'],prediction:,['blue', 'five']
facit:['BLUE', 'four'],prediction:,['blue', 'four']
facit:['BLUE', 'four'],prediction:,['blue', 'four']
facit:['BLUE', 'four'],prediction:,['blue', 'four']
facit:['BLUE', 'nine'],prediction:,['blue', 'nine']
facit:['BLUE', 'nine'],prediction:,['blue', 'nine']
facit:['BLUE', 'nine'],prediction:,['blue', 'nine']
facit:['BLUE', 'one'],prediction:,['blue', 'one']
facit:['BLUE', 'one'],prediction:,['blue', 'one']
facit:['BLUE', 'one'],prediction:,['blue', 'one']
facit:['BLUE', 'r'],prediction:,['blue', 'r']
facit:['BLUE', 'r'],prediction:,['blue', 'r']
facit:['BLUE', 'r'],prediction:,['blue', 'r']
facit:['BLUE', 'seven'],prediction:,['blue', 'seven']
facit:['BLUE', 'seven'],prediction:,['blue', 'seven']
facit:['BLUE', 'seven'],prediction:,['blue', 'seven']
facit:['BLUE', 'six'],prediction:,['blue', 'six']
facit:['BLUE', 'six'],prediction:,['blue', 'six']
facit:['BLUE', 'six'],prediction:,['blue', 'six']
facit:['BLUE', 's'],prediction:,['blue', 's']
facit:['BLUE', 's'],prediction:,['blue', 's']
facit:['BLUE', 's'],prediction:,['blue', 's']
facit:['BLUE', 'three'],prediction:,['blue', 'three']
facit:['BLUE', 'three'],prediction:,['blue', 'three']
facit:['BLUE', 'three'],prediction:,['blue', 'three']
facit:['BLUE', 'two'],prediction:,['blue', 'two']
facit:['BLUE', 'two'],prediction:,['blue', 'two']
facit:['BLUE', 'two'],prediction:,['blue', 'two']
facit:['BLUE', 'zero'],prediction:,['blue', 'zero']
facit:['BLUE', 'zero'],prediction:,['green', 'zero']
facit:['BLUE', 'zero'],prediction:,['blue', 'zero']
facit:['d4', ''],prediction:,['d4']
facit:['d4', ''],prediction:,['d4']
facit:['d4', ''],prediction:,['d4']
facit:['GREEN', 'd2'],prediction:,['green', 'd2']
facit:['GREEN', 'd2'],prediction:,['green', 'd2']
facit:['GREEN', 'd2'],prediction:,['green', 'd2']
facit:['GREEN', 'eight'],prediction:,['green', 'eight']
facit:['GREEN', 'eight'],prediction:,['green', 'eight']
facit:['GREEN', 'eight'],prediction:,['green', 'eight']
facit:['GREEN', 'five'],prediction:,['green', 'five']
facit:['GREEN', 'five'],prediction:,['green', 'five']
facit:['GREEN', 'five'],prediction:,['green', 'five']
facit:['GREEN', 'four'],prediction:,['green', 'four']
facit:['GREEN', 'four'],prediction:,['green', 'four']
facit:['GREEN', 'four'],prediction:,['green', 'four']
facit:['GREEN', 'nine'],prediction:,['green', 'nine']
facit:['GREEN', 'nine'],prediction:,['green', 'nine']
facit:['GREEN', 'nine'],prediction:,['green', 'nine']
facit:['GREEN', 'one'],prediction:,['green', 'one']
facit:['GREEN', 'one'],prediction:,['green', 'one']
facit:['GREEN', 'one'],prediction:,['green', 'one']
facit:['GREEN', 'r'],prediction:,['green', 'r']
facit:['GREEN', 'r'],prediction:,['green', 'r']
facit:['GREEN', 'r'],prediction:,['green', 'r']
facit:['GREEN', 'seven'],prediction:,['green', 'seven']
facit:['GREEN', 'seven'],prediction:,['green', 'seven']
